Name,ExportName,CurrencyInUSD,Diamonds,TID,Enabled,TLOPackage,RED,ChronosPackage,SpecialPackage,DecoReward,DecoAmount,BigButton,BoosterRandomAmount,BoosterRandomMinStars,Booster5StarAmount,StarterPackage,StarterPackageReward
com.supercell.soil.specialoffertier20,icon_diamonds_box,1999,570,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier21,icon_diamonds_box,2099,620,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier22,icon_diamonds_box,2199,660,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier23,icon_diamonds_box,2299,700,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier24,icon_diamonds_box,2399,750,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier25,icon_diamonds_box,2499,800,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier26,icon_diamonds_box,2599,850,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier27,icon_diamonds_box,2699,900,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier28,icon_diamonds_box,2799,940,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier29,icon_diamonds_box,2899,990,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier30,icon_diamonds_box,2999,1000,TID_DIAMOND_PACK_4,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier35,icon_diamonds_chest,3499,1300,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier40,icon_diamonds_chest,3999,1500,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier45,icon_diamonds_chest,4499,1700,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier50,icon_diamonds_chest,4999,1900,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier55,icon_diamonds_chest,5499,2100,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier60,icon_diamonds_chest,5999,2300,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
com.supercell.soil.specialoffertier65,icon_diamonds_chest,6499,2500,TID_DIAMOND_PACK_5,false,,,true,,,,,,,,,
